Ticker,Date,Close,High,Low,Open,Volume,Daily_Return,MA_7,MA_14,MA_30,Volatility_30,Volume_Change,Price_Movement
RELIANCE,2024-05-27,1455.4774169921875,1473.990419113941,1450.8119965034373,1469.3497180106694,6629010,0.0,,,,,,0
RELIANCE,2024-05-28,1445.501220703125,1467.637430621861,1442.0766163922278,1457.2145743340495,7820162,-0.006854243269317606,,,,,0.17968776634821793,0
RELIANCE,2024-05-29,1430.1895751953125,1447.287997987601,1427.8815843874524,1435.87248908715,7383556,-0.010592620254145868,,,,,-0.055830812712064026,0
RELIANCE,2024-05-30,1414.3814697265625,1429.817270893488,1409.6663684202383,1424.9532474164846,13206858,-0.011053153891567913,,,,,0.7886852893104623,1
RELIANCE,2024-05-31,1419.8907470703125,1431.653659822201,1411.800601617005,1420.7841589242364,31069832,0.003895184900022164,,,,,1.3525528933528324,1
RELIANCE,2024-06-03,1499.228515625,1503.3728901534053,1448.2806515244756,1472.1043222829317,21527942,0.055875967019565875,,,,,-0.3071110909128829,0
RELIANCE,2024-06-04,1387.0091552734375,1487.0437791255476,1349.3131842665357,1487.0437791255476,36709098,-0.07485140469382034,1435.9540143694196,,,,0.705183802520464,1
RELIANCE,2024-06-05,1410.3116455078125,1420.6352601794422,1373.9308915121778,1411.5524616660985,17464890,0.016800530945147996,1429.5017613002233,,,,-0.5242353816484404,1
RELIANCE,2024-06-06,1421.0819091796875,1433.0929853880773,1410.9072166555904,1424.4569533735907,17855722,0.007636796949228142,1426.0132882254463,,,,0.022378154113767756,1
RELIANCE,2024-06-07,1459.1500244140625,1461.1850112482905,1416.0193060772324,1418.004611799037,18558696,0.026788121774310447,1430.1504952566963,,,,0.039369676566425094,1
RELIANCE,2024-06-10,1460.5894775390625,1482.3781598703026,1457.2888339961758,1459.150058153404,9251760,0.0009865011142895508,1436.7516392299108,,,,-0.5014865268551196,0
